NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1s,Year,MONEY,COUNTRY
Erik Compton,81,71.499,297.2,58.33,62.48,0.092,-0.609,-0.517,311,0,0,2012,359765,USA
Ernie Els,80,70.131,294.6,56.71,66.52,-0.05,0.727,0.677,510,5,1,2012,3453118,RSA
Freddie Jacobson,61,70.561,287.4,57.98,61.85,-0.145,0.254,0.109,513,1,0,2012,953494,SWE
Garth Mulroy,59,71.192,293.7,60.1,65.11,0.01,-0.041,-0.031,173,0,0,2012,277632,RSA
Gary Christian,91,70.82,281.9,68.95,66.99,-0.077,0.226,0.149,529,1,0,2012,616457,ENG
Gary Woodland,70,71.552,301.6,54.55,64.01,-0.497,0.204,-0.293,321,1,0,2012,592879,USA
Gavin Coles,72,71.397,271.2,65.08,64.23,0.591,-0.88,-0.289,184,0,0,2012,247561,AUS
Geoff Ogilvy,73,70.436,290.1,62.01,63.66,0.238,0.453,0.691,1164,1,0,2012,1255223,AUS
George McNeill,85,71.011,288.8,61.14,63.03,0.238,-0.226,0.013,724,1,1,2012,1119535,USA
Graeme McDowell,55,70.229,285.5,70.11,66.26,-0.282,0.654,0.372,1222,4,0,2012,2408279,NIR
Graham DeLaet,79,70.624,304.3,60.36,66.74,-0.278,0.6,0.322,1085,3,0,2012,1051951,CAN
Greg Chalmers,88,70.417,282,62,59.83,0.506,0.136,0.642,1402,1,0,2012,1166627,AUS
Greg Owen,90,70.444,295.9,60.16,68.58,-0.416,0.714,0.298,704,3,0,2012,1151622,ENG
Harris English,98,70.688,300.3,59.47,67.74,0.175,0.123,0.299,762,3,0,2012,1186003,USA
Harrison Frazar,56,71.739,297.7,54.68,61.21,0.023,-0.575,-0.551,387,2,0,2012,730203,USA
Heath Slocum,93,70.911,278.9,71.69,67.84,-0.554,0.518,-0.035,365,0,0,2012,518198,USA
Henrik Stenson,51,70.239,289.5,64.13,65.37,0.105,0.809,0.915,462,1,0,2012,791107,SWE
Hunter Haas,69,71.205,287.6,61.82,63.14,0.011,-0.12,-0.109,251,1,0,2012,399364,USA
Hunter Mahan,88,70.346,293.1,67.74,68.97,-0.109,0.65,0.541,693,5,2,2012,4019193,USA
Ian Poulter,57,70.176,285,65.13,61.61,0.103,0.461,0.564,1280,4,1,2012,1715271,ENG
J.B. Holmes,90,70.924,309.7,54.4,64.5,-0.057,0.553,0.496,1153,2,0,2012,1179505,USA
J.J. Henry,93,70.939,288.1,63.18,68.24,-0.054,0.309,0.255,760,3,1,2012,1297802,USA
J.J. Killeen,101,71.502,289.9,56.09,60.27,-0.107,-0.342,-0.449,286,1,0,2012,414257,USA
James Driscoll,83,71.246,291.1,51.32,62.38,0.434,-0.493,-0.059,413,2,0,2012,687338,USA
Jason Bohn,81,71.248,279.2,65,64.59,-0.037,-0.144,-0.18,363,3,0,2012,795549,USA
Jason Day,57,70.152,308.6,52.48,61.31,0.526,0.498,1.024,712,4,0,2012,1143233,AUS
Jason Dufner,83,69.456,292.4,66.9,69.17,0.153,1.293,1.446,853,8,2,2012,4869304,USA
Jason Kokrak,79,71.445,304.1,53.92,66,-0.184,-0.263,-0.447,165,2,0,2012,750221,USA
Jeff Maggert,83,70.883,285.3,67.16,65.66,-0.127,0.158,0.03,437,1,0,2012,682742,USA
Jeff Overton,101,70.197,292,61.91,66.32,0.293,0.59,0.883,1199,4,0,2012,1563670,USA
Jerry Kelly,84,70.955,276.1,73,65.63,-0.077,0.01,-0.067,385,1,0,2012,645701,USA
Jhonattan Vegas,77,71.44,304.6,53.09,66.07,-0.035,-0.352,-0.387,361,2,0,2012,801803,VEN
Jim Furyk,85,69.304,280,70.71,68.19,0.423,1.329,1.752,790,8,0,2012,3623805,USA
Jimmy Walker,101,70.556,296.5,52.74,64.3,0.427,0.12,0.547,1033,6,0,2012,1638419,USA
John Daly,50,70.879,306.7,55.78,62.08,0.192,-0.598,-0.406,298,1,0,2012,488505,USA
John Huh,99,70.384,288.3,68.69,66.44,0.167,0.397,0.564,460,4,1,2012,2692113,USA
John Mallinger,74,70.699,281.4,67.93,66.51,-0.086,0.305,0.218,543,3,0,2012,1146852,USA
John Merrick,83,70.701,293.3,64.46,69.13,-0.193,0.385,0.191,814,2,0,2012,1084628,USA
John Rollins,81,70.618,295.4,64.25,66.16,-0.034,0.465,0.431,800,5,0,2012,1489155,USA
John Senden,81,70.05,291,65.93,68.59,0.039,0.96,1,445,5,0,2012,1916651,AUS
Johnson Wagner,88,70.899,284,62.32,65.91,0.346,0.039,0.385,1386,4,1,2012,2225007,USA
Jonas Blixt,72,70.244,286.3,58.9,63.65,0.804,0.257,1.062,820,5,1,2012,2255695,SWE
Jonathan Byrd,69,70.753,289.5,57.88,63.64,0.262,0.244,0.506,736,5,0,2012,1616789,USA
Josh Teater,97,70.953,298.6,61.3,67.5,-0.209,0.338,0.128,803,4,0,2012,1011430,USA
Justin Leonard,79,71.583,279.4,60.34,60.44,-0.325,-0.29,-0.615,277,2,0,2012,540155,USA
Justin Rose,69,69.549,290.9,65.82,70.34,-0.122,1.762,1.64,1770,8,1,2012,4290930,ENG
K.J. Choi,71,70.886,282.3,64.08,63.57,-0.344,0.599,0.255,602,2,0,2012,969057,KOR
Keegan Bradley,90,69.984,302.7,61.65,66.54,0.33,0.791,1.122,655,5,1,2012,3910658,USA
Ken Duke,104,70.376,282.6,65.69,64.61,0.349,0.305,0.654,776,6,0,2012,1511628,USA
Kevin Chappell,91,70.89,293.3,56.73,64.11,-0.262,0.181,-0.081,447,1,0,2012,647510,USA
Kevin Kisner,69,71.342,287.9,61.1,62.48,0.303,-0.442,-0.139,248,1,0,2012,346216,USA
Kevin Na,80,70.634,281.5,65.91,62.03,0.193,0.252,0.445,1095,6,0,2012,2029943,USA
Kevin Stadler,85,70.525,292.9,65.09,67.75,-0.263,0.702,0.439,1403,5,0,2012,1546036,USA
Kevin Streelman,89,70.821,292.8,61.63,66.22,-0.054,0.322,0.268,462,3,0,2012,893736,USA
Kris Blanks,65,71.201,284.5,65.84,66.84,-0.608,0.547,-0.061,297,0,0,2012,390059,USA
Kyle Reifers,86,71.16,290,61.7,67.41,0.021,0.038,0.058,311,0,0,2012,448960,USA
Kyle Stanley,86,70.633,306.9,59.49,67.06,-0.797,1.181,0.384,1492,2,1,2012,2351857,USA
Kyle Thompson,51,72.296,284.2,62.65,64.78,-1.209,-0.189,-1.398,44,0,0,2012,45460,USA
Lee Westwood,60,70.084,298.1,62.17,69.75,-0.359,1.143,0.784,1205,7,0,2012,3016569,ENG
Louis Oosthuizen,65,69.707,299.5,62.41,68.78,-0.004,0.98,0.976,1635,5,0,2012,3460995,RSA
Luke Donald,63,69.687,280.1,65.16,64.96,0.818,0.824,1.641,1275,8,1,2012,3512024,ENG
Marc Leishman,84,70.831,289.4,55.2,62.76,-0.331,0.543,0.212,1165,2,1,2012,1933761,AUS
Marco Dawson,60,72.304,285.9,56.04,62.76,-0.235,-0.98,-1.215,43,0,0,2012,79727,USA
Mark Anderson,75,71.692,295.7,52.23,63.85,-0.133,-0.742,-0.875,209,1,0,2012,441019,USA
Mark Wilson,84,71.375,276,68.62,64.03,-0.102,-0.143,-0.245,1049,3,1,2012,2144780,USA
Martin Flores,95,70.538,295,53.58,63.98,0.656,-0.238,0.419,562,2,0,2012,1035569,USA
Martin Laird,77,70.989,298.2,59.16,65.3,0.099,0.449,0.549,1024,3,0,2012,2172883,SCO
Mathew Goggin,65,71.449,290.8,57.86,67.3,-0.242,-0.084,-0.327,103,0,0,2012,259604,AUS
Matt Bettencourt,80,72.182,288.2,52.29,58.95,-0.201,-1.061,-1.262,177,1,0,2012,335076,USA
Matt Every,80,70.789,285.5,60.89,66.23,0.096,0.516,0.613,979,6,0,2012,1972166,USA
Matt Jones,53,71.367,293.7,55.49,64.74,-0.09,-0.467,-0.557,143,1,0,2012,300254,AUS
Matt Kuchar,86,69.477,286.2,65.06,65.38,0.472,0.91,1.382,707,9,1,2012,3903065,USA
Michael Bradley,63,72.059,284.5,51.88,65.35,-0.189,-0.765,-0.954,173,0,0,2012,191746,USA
Michael Thompson,80,70.718,283.4,59.43,63.26,0.355,-0.25,0.106,671,3,0,2012,1408374,USA
Miguel Angel Carballo,73,71.918,289.5,57.88,64.79,-0.294,-0.876,-1.17,213,0,0,2012,269980,ARG
Nathan Green,73,70.991,283.8,58.97,66.92,0.248,-0.348,-0.1,245,1,0,2012,366651,AUS
Nick O'Hern,78,71.579,268.9,63.34,63.29,-0.392,-0.096,-0.489,250,1,0,2012,489375,AUS
Nick Watney,97,70.577,296.8,58.86,66.43,-0.028,0.563,0.536,2215,5,1,2012,3044224,USA
Padraig Harrington,67,69.736,293.6,59.86,62.17,-0.02,0.908,0.888,1213,3,0,2012,1546272,IRL
Pat Perez,81,70.378,291.5,62.33,65.05,0.16,0.603,0.763,1073,1,0,2012,1064053,USA
Patrick Sheehan,58,71.95,279.3,60.11,62.93,-0.149,-1.113,-1.261,108,0,0,2012,129590,USA
Phil Mickelson,79,70.03,294.4,54.31,64.14,0.562,0.86,1.422,2073,7,1,2012,4203821,USA
Richard Lee,71,70.809,285.6,68.72,68.29,0.189,-0.01,0.179,262,1,0,2012,547733,NZL
Rickie Fowler,84,70.606,293.2,64.43,64.99,-0.202,0.72,0.518,475,5,1,2012,3066293,USA
Ricky Barnes,92,71.163,292,58.1,67.36,-0.488,0.285,-0.203,696,1,0,2012,805408,USA
Robert Allenby,76,71.355,286.7,59.34,65.79,-0.428,-0.198,-0.626,417,2,0,2012,808927,AUS
Robert Garrigus,89,70.066,310.3,56.58,69.23,-0.225,1.212,0.988,637,8,0,2012,3206530,USA
Robert Karlsson,54,71.453,294.7,55.22,63.25,-0.531,0.062,-0.469,239,0,0,2012,393340,SWE
Roberto Castro,92,70.434,290.6,65.36,68.41,0.048,0.543,0.591,772,1,0,2012,755095,USA
Rocco Mediate,70,71.218,280.7,62.22,64.84,-0.012,-0.096,-0.108,195,0,0,2012,242354,USA
Rod Pampling,88,71.038,288.8,62.72,64.93,-0.153,0.133,-0.02,505,1,0,2012,620893,AUS
Roland Thatcher,55,71.646,288.9,62.19,67.8,-0.514,-0.644,-1.158,188,1,0,2012,396801,USA
Rory McIlroy,60,68.873,310.1,56.61,66.36,0.058,2.347,2.406,2827,10,4,2012,8047952,NIR
Rory Sabbatini,84,71.125,287.4,61.04,62.24,-0.37,0.356,-0.014,602,2,0,2012,1128820,RSA
Russell Knox,72,70.905,285.8,67.03,69.36,0,0.179,0.179,164,2,0,2012,512584,SCO
Ryan Moore,89,70.3,287.6,65.75,66.35,0.424,0.424,0.847,1105,8,1,2012,2858944,USA
Ryan Palmer,81,70.252,303.1,57.95,65.16,0.453,0.55,1.003,1070,4,0,2012,1501215,USA
Ryuji Imada,78,71.978,276.4,56.13,60.6,0.351,-1.262,-0.91,113,1,0,2012,238648,JPN
Sangmoon Bae,81,71.629,289.8,58.08,59.81,0.128,-1.181,-1.053,608,2,0,2012,1165952,KOR
Scott Brown,65,71.835,291.2,60.22,64.5,-0.468,-0.303,-0.771,212,3,0,2012,478763,USA
Scott Dunlap,57,71.653,281.4,64.66,67.21,-0.688,0.089,-0.6,77,0,0,2012,230220,USA
Scott Piercy,95,70.409,304.5,56.06,65.73,0.221,0.635,0.857,483,4,1,2012,2699205,USA
Scott Stallings,78,71.49,302.4,58.1,66.38,-0.405,0.081,-0.323,781,3,1,2012,1293739,USA
Sean O'Hair,84,70.615,297.5,59.98,68.25,-0.286,0.654,0.368,744,2,0,2012,1160981,USA
Sergio Garcia,57,69.928,292.4,61.15,64.98,0.4,0.704,1.104,733,3,1,2012,2510116,ESP
Seung-Yul Noh,105,70.256,300.4,59.34,67.41,0.142,0.579,0.721,1379,3,0,2012,1629751,KOR
Spencer Levin,81,70.776,283.7,57.3,60.97,0.33,-0.069,0.262,735,3,0,2012,1283616,USA
Stephen Ames,54,71.511,283.7,61.88,62.18,-0.255,-0.651,-0.906,142,0,0,2012,193686,CAN
Steve Stricker,73,69.865,285.4,63.31,68.33,0.134,1.161,1.295,685,7,1,2012,3420021,USA
Steve Wheatcroft,56,71.584,286.9,62.37,66.22,0.04,-0.546,-0.506,92,0,0,2012,135196,USA
Stewart Cink,71,71.483,288.8,53.43,64.26,0.301,-0.529,-0.228,310,0,0,2012,477173,USA
Stuart Appleby,75,71.095,283.3,65.45,64.79,0.154,-0.282,-0.128,287,0,0,2012,377559,AUS
Sung Kang,75,72.571,285.7,57.53,59.15,0.051,-1.812,-1.761,146,0,0,2012,169439,KOR
"Ted Potter, Jr.",77,71.71,284.5,64.18,63.32,0.073,-0.896,-0.823,652,1,1,2012,1383170,USA
Tiger Woods,69,68.904,297.4,63.93,67.58,0.339,1.971,2.31,2663,9,3,2012,6133158,USA
Tim Clark,60,70.697,276.7,71.6,64.26,-0.121,0.422,0.301,1065,3,0,2012,1407028,RSA
Tim Herron,88,70.781,289.4,59.93,67.36,-0.174,0.508,0.334,339,2,0,2012,660279,USA
Tom Gillis,75,70.812,289,66.09,63.85,0.217,0.122,0.339,1277,3,0,2012,1238058,USA
Tom Pernice Jr.,62,72.137,273.9,61.26,61.69,-0.318,-0.809,-1.127,139,1,0,2012,189907,USA
Tommy Biershenk,74,72.494,285.4,57.22,59.89,0.224,-1.451,-1.227,73,0,0,2012,107266,USA
Tommy Gainey,98,71.54,297.2,55.63,62.3,0.113,-0.63,-0.517,631,2,1,2012,1540749,USA
Trevor Immelman,76,71.37,290.9,59.7,63.45,-0.122,0.487,0.365,423,0,0,2012,617296,RSA
Troy Kelly,68,71.531,299.5,52.6,63.17,0.05,-0.742,-0.692,462,1,0,2012,786832,USA
Troy Matteson,100,71.247,298.9,52.67,64.01,0.136,-0.187,-0.051,1190,3,0,2012,1198953,USA
Vaughn Taylor,81,71.059,286,60.59,66.3,0.031,-0.001,0.03,312,0,0,2012,547129,USA
Vijay Singh,99,70.156,295.4,61.62,66.22,-0.404,1.167,0.763,1406,5,0,2012,1586305,FIJ
Webb Simpson,77,70.04,288.6,61.47,67.47,0.211,0.912,1.123,785,7,1,2012,3436758,USA
Will Claxton,99,70.369,290.4,65.36,69.06,-0.167,0.679,0.512,530,2,0,2012,780969,USA
William McGirt,96,70.729,285.4,60.58,66.3,0.282,-0.029,0.253,1125,3,0,2012,1228947,USA
Y.E. Yang,64,71.005,284.9,61.06,58.51,0.516,-0.663,-0.146,351,0,0,2012,454276,KOR
Zach Johnson,95,69.821,281.1,68.53,64.95,0.568,0.629,1.197,1073,6,2,2012,4504244,USA
�?ngel Cabrera,54,71.581,299.7,57.02,63.33,-0.217,-0.234,-0.451,177,0,0,2012,283385,ARG
Aaron Baddeley,68,71.503,288.5,50.71,58,0.661,-0.979,-0.319,526,2,0,2013,721024,AUS
Aaron Watkins,46,71.77,277.1,63.03,62.25,0.402,-0.991,-0.589,126,1,0,2013,217495,USA
Adam Scott,61,69.3,297.8,61.84,68.8,-0.027,1.337,1.31,2278,6,2,2013,4892611,AUS
Alistair Presnell,59,71.951,284.6,58.01,62.28,-0.02,-1.01,-1.03,140,0,0,2013,163134,AUS
Andres Romero,63,71.256,293.1,57.35,61.3,0.117,-0.317,-0.2,430,2,0,2013,718507,ARG
Andrew Svoboda,46,71.747,290.1,60.91,65.91,0.067,-0.629,-0.562,89,0,0,2013,77219,USA
Ben Crane,62,70.864,281,60.94,63.98,0.024,0.175,0.199,369,2,0,2013,796947,USA
Ben Curtis,59,71.531,274.9,60.55,63.84,0.211,-0.458,-0.248,251,0,0,2013,372543,USA
Ben Kohles,75,71.488,279,67.78,65.26,0.051,-0.509,-0.459,286,1,0,2013,419416,USA
Bill Haas,85,70.023,288.2,62.31,67.79,0.266,0.999,1.265,573,9,1,2013,3475563,USA
Billy Horschel,96,70.244,293.8,64.17,67.48,0.381,0.275,0.656,728,8,1,2013,3501703,USA
Bo Van Pelt,72,71.08,285.9,63.8,65.63,-0.181,0.111,-0.07,612,1,0,2013,956629,USA
Bob Estes,66,70.361,285,63.11,64.9,0.335,0.424,0.759,688,2,0,2013,769717,USA
Bobby Gates,49,72.59,296.2,51.59,62.84,0.011,-1.408,-1.398,144,1,0,2013,320248,USA
Boo Weekley,100,70.611,290.9,66.36,69.39,-0.676,0.774,0.099,455,4,1,2013,2786662,USA
Brad Fritsch,81,71.085,297,58.06,66.59,-0.212,0.166,-0.046,350,1,0,2013,452184,CAN
Brandt Jobe,62,71.175,292.1,64.78,66,-0.002,0.123,0.121,283,0,0,2013,309105,USA
Brandt Snedeker,79,69.791,281.3,62.57,65.68,0.692,0.449,1.141,853,9,2,2013,5318087,USA
Brendan Steele,86,71.053,290.7,61.56,65.99,0.028,-0.005,0.023,876,2,0,2013,1004161,USA
Brendon de Jonge,110,70.154,286.3,66.28,68.84,0.03,0.725,0.756,503,4,0,2013,1795244,ZIM
Brian Davis,91,70.69,278.8,68.61,62.15,0.232,0.458,0.689,1224,4,0,2013,1221524,ENG
Brian Gay,79,71.16,275.1,64.79,56.68,0.428,-0.694,-0.266,1099,1,1,2013,1426017,USA
Brian Harman,89,71.29,287.5,60.64,62.61,0.147,-0.443,-0.296,578,2,0,2013,909759,USA
Brian Stuard,78,70.869,281.8,65.99,65.77,0.067,-0.135,-0.068,598,4,0,2013,1032028,USA
Bryce Molder,82,70.52,273.8,65.95,63.68,0.594,-0.09,0.504,979,0,0,2013,816922,USA
Bubba Watson,76,70.276,303.7,58.73,69.41,-0.096,1.164,1.069,1365,3,0,2013,1759276,USA
Bud Cauley,67,71.445,287.5,59.16,63.76,-0.57,0.323,-0.247,343,0,0,2013,443698,USA
Cameron Percy,68,71.106,293.6,59.28,65.74,0.121,-0.288,-0.167,230,0,0,2013,277336,AUS
Cameron Tringale,80,70.724,287.2,62.89,67.01,0.104,0.239,0.343,726,1,0,2013,971209,USA
Camilo Villegas,79,70.586,291.8,58.56,66.74,-0.149,0.608,0.458,695,2,0,2013,709677,COL
Carl Pettersson,82,71.273,290.2,59.43,62.22,-0.028,-0.101,-0.129,516,1,0,2013,738143,SWE
Casey Wittenberg,72,71.659,280.5,54.61,62.14,0.254,-0.874,-0.62,199,1,0,2013,425395,USA
Chad Campbell,78,71.234,288.9,60.7,67.03,-0.249,0.205,-0.044,330,1,0,2013,510661,USA
Charl Schwartzel,69,69.651,296.1,59.87,65.85,0.301,0.967,1.268,490,5,0,2013,2256723,RSA
Charles Howell III,87,70.272,294.8,53.11,66.73,0.438,0.424,0.862,1398,5,0,2013,1877389,USA
Charley Hoffman,84,70.497,294,59.57,65.48,0.128,0.45,0.578,1016,5,0,2013,1582423,USA
Charlie Beljan,62,71.839,295.4,59.86,64.61,-0.205,-0.32,-0.524,459,1,0,2013,916229,USA
Charlie Wi,75,71.174,282.1,63.02,60.56,0.176,-0.427,-0.251,401,1,0,2013,656672,KOR
Chez Reavie,72,70.6,282.8,70.29,66.74,-0.009,0.383,0.375,439,0,0,2013,590925,USA
Chris Kirk,89,70.206,289,59.65,65.92,0.456,0.506,0.962,1399,3,0,2013,1728616,USA
Chris Stroud,88,70.546,277,62.4,64.33,0.34,0.276,0.616,1245,4,0,2013,1602122,USA
Colt Knost,69,72.264,271.7,66.48,61.71,0.435,-1.714,-1.279,130,0,0,2013,176710,USA
D.A. Points,87,71.116,281.1,63.48,62.77,-0.161,0.16,0,453,3,1,2013,2658887,USA
D.H. Lee,65,71.187,280.9,66.23,65.98,0.037,-0.213,-0.176,432,3,0,2013,882793,KOR
D.J. Trahan,48,71.429,293.4,63.54,67.87,-0.247,-0.285,-0.531,169,1,0,2013,284249,USA
Daniel Summerhays,83,70.813,285.7,62.08,64.46,0.221,0.232,0.453,1307,4,0,2013,1277886,USA
Darron Stiles,51,71.947,275.1,67.64,62.24,-0.427,-0.484,-0.912,125,0,0,2013,184866,USA
David Hearn,88,70.738,279.7,62.08,64.71,0.484,-0.139,0.345,1105,2,0,2013,1171515,CAN
David Lingmerth,68,70.996,285.8,64.87,63.24,-0.009,0.024,0.015,806,3,0,2013,1748109,SWE
David Lynn,70,71.016,277.9,59.27,62.48,0.432,-0.071,0.361,1204,2,0,2013,1633253,ENG
David Mathis,71,72.222,280.6,62.42,63.6,-0.448,-0.701,-1.149,197,1,0,2013,274477,USA
David Toms,49,71.134,277.4,66.5,63.64,-0.379,-0.301,-0.679,326,1,0,2013,646161,USA
Derek Ernst,58,72.271,291.5,60.49,63.89,-0.216,-0.859,-1.075,598,1,1,2013,1330856,USA
Dicky Pride,71,71.293,274.8,65.24,64.43,-0.011,-0.35,-0.361,293,2,0,2013,495390,USA
Doug LaBelle II,72,71.317,280.1,67.42,64.37,0.545,-0.932,-0.386,290,0,0,2013,338921,USA
Dustin Johnson,71,70.115,305.8,53.36,66.75,-0.101,0.906,0.805,760,6,1,2013,2963214,USA
Erik Compton,74,71.011,292.7,56.89,65.09,0.234,-0.427,-0.193,547,1,0,2013,651660,USA
Ernie Els,63,70.491,289.6,57.72,61.74,-0.136,0.444,0.308,918,1,0,2013,1173761,RSA
Fabián Gómez,65,71.33,289.5,61.88,64.1,0.124,-0.372,-0.248,339,1,0,2013,586942,ARG
Freddie Jacobson,63,70.108,287.3,56.26,61.67,0.449,0.626,1.075,821,3,0,2013,1236722,SWE
Gary Woodland,94,70.733,303.8,57.6,66.98,0.062,0.397,0.459,603,2,1,2013,1915732,USA
Geoff Ogilvy,57,71.588,285.1,60.94,62.18,-0.337,-0.311,-0.649,522,1,0,2013,892920,AUS
George McNeill,68,70.876,286,65.62,65.28,-0.028,0.213,0.185,524,0,0,2013,500798,USA
Graeme McDowell,53,70.503,277.5,68.51,62.7,0.136,0.407,0.543,1116,4,1,2013,2174595,NIR
Graham DeLaet,94,70.089,298.6,65.8,70.51,0.1,0.969,1.069,1415,7,0,2013,2834900,CAN
Greg Chalmers,77,71.228,276.8,62.8,61.64,0.857,-0.89,-0.033,558,2,0,2013,632283,AUS
Greg Owen,73,71.554,292.8,59.76,65.73,-0.669,0.054,-0.615,336,0,0,2013,442198,ENG
Harris English,95,70.438,295.2,58.65,66.02,0.477,0.136,0.613,1442,4,1,2013,2201167,USA
Henrik Norlander,70,71.36,295,60.13,67.4,-0.16,-0.094,-0.254,229,0,0,2013,401958,SWE
Henrik Stenson,65,69.248,290.9,70.09,71.96,0.004,1.614,1.618,4750,8,2,2013,6388230,SWE
Hunter Mahan,91,70.106,290,66.61,67.58,0.382,0.752,1.134,653,5,0,2013,3036164,USA
Ian Poulter,59,70.382,281.7,62.42,63.52,0.177,0.337,0.514,1133,4,0,2013,1723463,ENG
J.J. Henry,83,70.992,284.7,64.93,67.97,0.146,-0.074,0.072,516,2,0,2013,761861,USA
James Driscoll,76,70.888,287.1,53.89,63.81,0.65,-0.261,0.389,524,2,0,2013,821101,USA
James Hahn,78,71.222,293.3,58.58,64.71,0.002,-0.07,-0.067,480,2,0,2013,853507,USA
Jason Bohn,70,71.101,276.3,65.74,64.44,0.185,-0.217,-0.033,454,2,0,2013,739030,USA
Jason Day,86,69.732,299.3,58.03,64.93,0.37,0.606,0.976,698,7,0,2013,3625030,AUS
Jason Dufner,78,69.912,285.9,64.81,67.53,-0.231,0.812,0.581,685,5,1,2013,3132268,USA
Jason Kokrak,78,70.924,303.2,53.17,65.67,-0.119,0.309,0.19,1013,4,0,2013,1267525,USA
Jeff Maggert,63,71.208,277.6,68.83,66.58,-0.316,0.049,-0.267,453,2,0,2013,1022331,USA
Jeff Overton,78,70.863,292.4,57.83,64.89,0.315,0.011,0.327,506,2,0,2013,721723,USA
Jerry Kelly,75,70.522,273.2,71.81,65.41,0.198,0.394,0.592,650,2,0,2013,832407,USA
Jim Furyk,80,69.828,275.3,70.47,68.3,0.092,1.297,1.389,758,7,0,2013,3204779,USA
Jim Herman,59,71.045,299.2,62.71,67.98,-0.229,0.282,0.053,325,2,0,2013,490756,USA
Jimmy Walker,84,70.332,298.5,52.18,66.07,0.276,0.654,0.93,1388,5,0,2013,2117570,USA
Jin Park,52,71.777,273.2,68.82,63.44,-0.027,-0.485,-0.512,125,0,0,2013,136457,KOR
John Huh,88,70.758,282,68.53,66.6,-0.227,0.525,0.298,1279,2,0,2013,1529482,USA
John Merrick,79,70.736,284.3,60.51,66.53,0.063,0.454,0.517,1331,2,1,2013,1969478,USA
John Rollins,77,70.779,295.6,58.56,67.43,-0.243,0.47,0.227,696,2,0,2013,1164049,USA
John Senden,79,70.97,289.3,60.57,65.95,-0.138,0.216,0.078,498,0,0,2013,667027,AUS
Johnson Wagner,64,72.013,278.6,58.69,64.35,0.271,-1.217,-0.946,430,2,0,2013,801955,USA
Jonas Blixt,76,71.11,283.7,56.54,60.89,0.312,-0.715,-0.403,1135,2,1,2013,2027517,SWE
Jordan Spieth,82,69.668,289.4,67.8,66.94,0.182,1.291,1.473,1690,9,1,2013,3879820,USA
Josh Teater,86,70.904,293.7,60.77,66.53,0.022,0.316,0.338,726,3,0,2013,1332652,USA
Justin Bolli,59,72.034,279.1,61.36,61.11,0.038,-1.27,-1.232,278,2,0,2013,545187,USA
Justin Hicks,79,71.138,280,69.61,68.59,-0.219,0.08,-0.139,451,1,0,2013,732742,USA
Justin Leonard,86,70.863,276.3,64.36,63.11,0.348,-0.233,0.115,644,1,0,2013,694139,USA
Justin Rose,62,69.225,296.6,63.57,68.89,-0.188,1.912,1.723,1300,7,1,2013,4146148,ENG
K.J. Choi,85,70.322,278.3,66.04,65.87,0.337,0.508,0.845,816,2,0,2013,973751,KOR
Keegan Bradley,88,69.724,300.6,62.82,66.54,0.25,1.153,1.403,693,7,0,2013,3636813,USA
Ken Duke,87,71.025,275.1,69.28,63.09,-0.026,-0.04,-0.065,930,2,1,2013,1722583,USA
Kevin Chappell,80,70.927,292.9,61.52,66.11,-0.338,0.722,0.384,1237,3,0,2013,1589839,USA
Kevin Stadler,83,70.632,289.8,64.21,68.92,-0.284,0.751,0.467,1412,3,0,2013,1281177,USA
Kevin Streelman,86,70.267,287.5,67.25,66.41,0.246,0.611,0.858,553,5,1,2013,3088284,USA
Kyle Stanley,71,71.842,298.1,59.54,67.37,-0.683,0.351,-0.332,759,3,0,2013,1462943,USA
Lee Westwood,70,70.158,290.3,62.59,65.22,-0.484,1.088,0.604,1291,6,0,2013,2081731,ENG
Lee Williams,62,71.792,275.6,59.76,61.67,-0.427,-0.364,-0.79,134,0,0,2013,133755,USA
Lucas Glover,65,71.577,293.7,61.62,66.41,-0.851,0.765,-0.086,454,2,0,2013,747812,USA
Luke Donald,60,69.793,278.1,62.87,62.16,0.528,0.752,1.279,483,5,0,2013,1930646,ENG
Luke Guthrie,82,71.139,283.5,61.24,63.62,-0.205,0.219,0.015,607,2,0,2013,991902,USA
Luke List,65,72.444,306.3,45.58,62.39,-0.267,-1.077,-1.344,202,0,0,2013,264401,USA
Marc Leishman,77,70.532,286.6,58.77,65.08,0.08,0.237,0.318,1071,4,0,2013,1491359,AUS
Mark Wilson,56,70.916,278,70.74,66.24,-0.21,0.51,0.3,476,3,0,2013,913730,USA
Martin Flores,83,70.676,300.4,53.67,65.53,0.08,0.346,0.426,630,2,0,2013,805597,USA
Martin Kaymer,61,70.559,288.4,61.36,64.85,0.137,-0.003,0.135,679,3,0,2013,882937,GER
Martin Laird,68,71.029,293.4,60.78,63.64,-0.127,0.136,0.009,814,2,1,2013,1755393,SCO
Matt Every,89,71.023,288.1,58.94,65.54,-0.092,0.385,0.293,1097,4,0,2013,1188867,USA
Matt Jones,83,70.245,292.3,64.74,66,0.145,0.74,0.885,1419,5,0,2013,1724707,AUS
Matt Kuchar,93,69.561,284.9,58.93,65.84,0.398,0.999,1.398,1823,8,2,2013,5616808,USA
